FileNameOd	Object	Prob	rRectXi	rRectYi	rRectXf	rRectYf	rCenterX	rCenterY	pxCenterX	pxCenterY	FileNameOdFull
test.jpg	1	0.9033985	0.816819	0.46118766	0.9261336	0.5243973	0.8714762926101685	0.4927924871444702	557.7448272705078	315.38719177246094	test.jpg
test.jpg	1	0.65245974	0.5428037	0.83766747	0.6474483	0.9296021	0.5951260328292847	0.8836348056793213	380.8806610107422	565.5262756347656	test.jpg
test.jpg	1	0.4842415	0.50725615	0.0011703313	0.59283775	0.07886628	0.5500469207763672	0.04001830518245697	352.030029296875	25.61171531677246	test.jpg
test.jpg	1	0.061980724	0.37004003	0.6585465	0.44299364	0.7333624	0.4065168499946594	0.695954442024231	260.17078399658203	445.4108428955078	test.jpg
test.jpg	1	0.04488037	0.78745097	0.20151332	0.89464647	0.289818	0.8410487174987793	0.24566565454006195	538.2711791992188	157.22601890563965	test.jpg
test.jpg	1	0.0058453865	0.36741897	0.6105635	0.4389207	0.6823297	0.4031698405742645	0.6464465856552124	258.0286979675293	413.72581481933594	test.jpg
test.jpg	1	0.0048627635	0.00986054	0.73482984	0.09908471	0.8205835	0.05447262525558472	0.7777066826820374	34.86248016357422	497.7322769165039	test.jpg
test.jpg	1	0.0031621864	0.5931646	0.5798107	0.72304916	0.65105236	0.6581069231033325	0.615431547164917	421.1884307861328	393.8761901855469	test.jpg
test.jpg	1	0.0030057144	0.3640178	0.61607707	0.45146742	0.7413687	0.40774261951446533	0.6787228584289551	260.9552764892578	434.38262939453125	test.jpg
test.jpg	1	0.0021643527	0.3907038	0.21138804	0.5135409	0.29801175	0.45212236046791077	0.2546998858451843	289.3583106994629	163.00792694091797	test.jpg
test.jpg	1	0.0005581122	0.1305286	0.17444935	0.2642707	0.24999385	0.19739964604377747	0.21222159266471863	126.33577346801758	135.82181930541992	test.jpg
test.jpg	1	9.1487884e-05	0.01192483	0.7586684	0.08821312	0.8257124	0.05006897822022438	0.792190432548523	32.0441460609436	507.0018768310547	test.jpg
test.jpg	1	6.99583e-05	0.19737786	0.2990807	0.29437497	0.38712126	0.24587641656398773	0.34310096502304077	157.36090660095215	219.5846176147461	test.jpg
test.jpg	1	5.7321417e-05	0.79855156	0.18289551	0.93526596	0.28245544	0.8669087886810303	0.2326754778623581	554.8216247558594	148.91230583190918	test.jpg
test.jpg	1	3.3169945e-05	0.63976306	0.11734133	0.71585417	0.20009516	0.6778086423873901	0.15871824324131012	433.7975311279297	101.57967567443848	test.jpg
test.jpg	1	3.206365e-05	0.51619476	0.84438545	0.6600237	0.9516925	0.5881092548370361	0.8980389833450317	376.3899230957031	574.7449493408203	test.jpg
test.jpg	1	3.084753e-05	0.41050014	0.207898	0.53416437	0.31888086	0.472332239151001	0.2633894383907318	302.2926330566406	168.56924057006836	test.jpg
test.jpg	1	2.3878334e-05	0.046486296	0.52924055	0.24772798	0.6340471	0.14710713922977448	0.58164381980896	94.14856910705566	372.2520446777344	test.jpg
test.jpg	1	1.5467918e-05	0.82188314	0.43931255	0.9460446	0.5455276	0.8839638829231262	0.4924200773239136	565.7368850708008	315.1488494873047	test.jpg
test.jpg	1	1.2306129e-05	0.14051755	0.8874056	0.22645228	0.9604603	0.18348491191864014	0.9239329099655151	117.43034362792969	591.3170623779297	test.jpg
test.jpg	1	7.663789e-06	0.8309084	0.43199536	0.92826253	0.49255976	0.8795855045318604	0.4622775614261627	562.9347229003906	295.85763931274414	test.jpg
test.jpg	1	6.7178985e-06	0.6142498	0.57996833	0.7516263	0.698597	0.6829380989074707	0.6392827033996582	437.08038330078125	409.14093017578125	test.jpg
test.jpg	1	5.9251774e-06	0.07478934	0.15866663	0.22765477	0.26204282	0.15122205018997192	0.21035471558570862	96.78211212158203	134.62701797485352	test.jpg
test.jpg	1	5.601588e-06	0.022882987	0.75740325	0.14052655	0.86348766	0.0817047655582428	0.8104454278945923	52.29104995727539	518.6850738525391	test.jpg
test.jpg	1	4.9318833e-06	0.6852783	0.028560162	0.7807209	0.15003714	0.7329995632171631	0.08929865062236786	469.1197204589844	57.15113639831543	test.jpg
test.jpg	1	4.900036e-06	0.554442	0.0023050548	0.62735325	0.07027471	0.5908976197242737	0.03628988191485405	378.17447662353516	23.225524425506592	test.jpg
test.jpg	1	4.4872572e-06	0.15898477	0.87317544	0.27954093	0.976096	0.21926283836364746	0.9246357083320618	140.32821655273438	591.7668533325195	test.jpg
test.jpg	1	4.4303133e-06	0.3449508	0.5890705	0.421458	0.6740305	0.3832044005393982	0.6315504908561707	245.25081634521484	404.1923141479492	test.jpg
test.jpg	1	3.670382e-06	0.52909017	0.82923794	0.6912574	0.9322096	0.6101738214492798	0.880723774433136	390.51124572753906	563.663215637207	test.jpg
test.jpg	1	3.5787104e-06	0.74815315	0.45179185	0.9182088	0.5423357	0.8331809639930725	0.4970637559890747	533.2358169555664	318.1208038330078	test.jpg
test.jpg	1	2.9002704e-06	0.14913504	0.9220031	0.22152078	0.992315	0.1853279173374176	0.9571590423583984	118.60986709594727	612.581787109375	test.jpg
test.jpg	1	2.8448871e-06	0.17457952	0.15069324	0.29430413	0.26392427	0.2344418168067932	0.20730875432491302	150.04276275634766	132.67760276794434	test.jpg
test.jpg	1	2.6311943e-06	0.0037084909	0.86575395	0.07733736	0.9269592	0.040522925555706024	0.8963565826416016	25.934672355651855	573.668212890625	test.jpg
test.jpg	1	2.5805975e-06	0.7666834	0.48074484	0.8476872	0.57150644	0.8071852922439575	0.5261256694793701	516.5985870361328	336.7204284667969	test.jpg
